address,geometry
"1420 THOMAS ST, PORT HURON, MI","[-82.4350731, 42.9905461]"
"2735 20TH STREET, PORT HURON, MI","[-82.4476019, 42.954047]"
"4200 DOVE ROAD, PORT HURON, MI","[-82.4907844, 42.9527862]"
"4152 DOVE ROAD, PORT HURON, MI","[-82.484608, 42.9511694]"
"1629 GARFIELD, PORT HURON, MI","[-82.43994099999999, 43.0048029]"
"2133/2233 PETIT ST, PORT HURON, MI","[-82.44884069999999, 42.95953189999999]"
"1105 24TH ST, PORT HURON, MI","[-82.4541193, 42.9716341]"
"36450 29 MILE RD, LENOX TWP, MI","[-82.74731469999999, 42.7641341]"
"66629 GRATIOT AVE., RICHMOND, MI","[-82.73919599999999, 42.791874]"
"67567 SOUTH MAIN STREET, RICHMOND, MI","[-82.7420472, 42.79836239999999]"
"29359 32 MILE ROAD, RICHMOND, MI","[-82.8207685, 42.8101105]"
"14950 FIFTEEN MILE ROAD, ARMADA, MI","[-82.9729728, 42.5529462]"
"1647  CAUGHILL ROAD, COLUMBUS, MI","[-82.67481540000001, 42.8520598]"
"69444 COUNTY ROAD 687, HARTFORD, MI","[-86.17133059999999, 42.1660752]"
"5675 KRAFT AVENUE, CASCADE TWP, MI","[-85.5285131, 42.8593535]"
"10918 GRATIOT AVENUE, CASCO, MI","[-82.7333234, 42.79951490000001]"
"322 S MAIN ST, ROMEO, MI","[-83.0136663, 42.7963334]"
"701 E. 32 MILE RD., ROMEO, MI","[-82.9955777, 42.8081629]"
"130 E POND DR, ROMEO, MI","[-82.9823701, 42.8077142]"
"160 MCLEAN, ROMEO, MI","[-82.98238289999999, 42.8176616]"
"103 PEYERK COURT, ROMEO, MI","[-82.9809065, 42.810763]"
"74000  VAN DYKE AVENUE, ROMEO, MI","[-83.012954, 42.7936924]"
"15065 32 MILE, ROMEO, MI","[-82.9807153, 42.8039309]"
"73408 VAN DYKE, ROMEO, MI","[-83.0192885, 42.8354958]"
"30000 GRATIOT, ROSEVILLE, MI","[-82.9227226, 42.5173315]"
"20200 CORNILLE DR, ROSEVILLE, MI","[-82.9122514, 42.520748]"
"15765 STURGEON, ROSEVILLE, MI","[-82.9600695, 42.5143165]"
"29784 GROESBECK, ROSEVILLE, MI","[-82.9538106, 42.5136643]"
"30759 EDISON, ROSEVILLE, MI","[-82.95376859999999, 42.5217863]"
"29163 CALAHAN, ROSEVILLE, MI","[-82.966364, 42.511155]"
"29950 LITTLE MACK, ROSEVILLE, MI","[-82.90804779999999, 42.5174364]"
"28890 GRATIOT AVE, ROSEVILLE, MI","[-82.9278234, 42.5094101]"
"29187 GRATIOT AVENUE, ROSEVILLE, MI","[-82.9282226, 42.5113612]"
"25825 GRATIOT AVE., ROSEVILLE, MI","[-82.9451563, 42.4856586]"
"29801 GROESBECK, ROSEVILLE, MI","[-82.95582689999999, 42.5147039]"
"15960 COMMON ROAD, ROSEVILLE, MI","[-82.9588382, 42.5159483]"
"27300 GRATIOT AVE, ROSEVILLE, MI","[-82.9359547, 42.4968831]"
"30499 EDISON, ROSEVILLE, MI","[-82.95444069999999, 42.5206071]"
"27941 GROESBECK HWY, ROSEVILLE, MI","[-82.96552989999999, 42.500231]"
"28117 GROESBECK, ROSEVILLE, MI","[-82.96368179999999, 42.5034751]"
"29800 GROESBECK, ROSEVILLE, MI","[-82.9537266, 42.513888]"
"29850 GROESBECK, ROSEVILLE, MI","[-82.9531384, 42.5146147]"
"15300 COMMON RD, ROSEVILLE, MI","[-82.96536189999999, 42.5156337]"
"28631 GRATIOT AVE., ROSEVILLE, MI","[-82.930702, 42.5073562]"
"28060 GROESBECK HWY, ROSEVILLE, MI","[-82.96108509999999, 42.5030549]"
"29765 GROESBECK, ROSEVILLE, MI","[-82.9548188, 42.513879]"
"29806 GROESBECK, ROSEVILLE, MI","[-82.9536425, 42.5141117]"
"16410 COMMON RD, ROSEVILLE, MI","[-82.95469140000002, 42.5163301]"
"29761 GROESBECK, ROSEVILLE, MI","[-82.9551548, 42.5137471]"
"28178 HAYES RD, ROSEVILLE, MI","[-82.9668739, 42.5039765]"
"29456 GROESBECK HIGHWAY, ROSEVILLE, MI","[-82.9545247, 42.5110761]"
"1211 N. CAMPBELL ROAD, ROYAL OAK, MI","[-83.1252128, 42.5007936]"
"421 S WILLIAMS ST, ROYAL OAK, MI","[-83.1425357, 42.4866981]"
"8450 W 10 MILE RD, ROYAL OAK, MI","[-83.15560599999999, 42.4768067]"
"1645 EAST AVIS DRIVE, MADISION HEIGHTS, MI","[-83.088394, 42.5287748]"
"32411 INDUSTRIAL DRIVE, MADISON HEIGHT, MI","[-83.09124469999999, 42.5292521]"
"95 E. 10 MILE ROAD, MADISON HEIGHTS, MI","[-83.1026881, 42.4765541]"
"32471 INDUSTRIAL DR., MADISON HEIGHTS, MI","[-83.0916639, 42.5305742]"
"32655 INDUSTRIAL DRIVE, MADISON HEIGHTS, MI","[-83.0917478, 42.5327914]"
"29306 STEPHENSON HWY, MADISON HTS, MI","[-83.11620599999999, 42.5089345]"
"839 E. 10 MILE ROAD, MADISON HTS, MI","[-83.0979517, 42.4765359]"
"30100 STEPHENSON HIGHWAY, MADISON HTS, MI","[-83.1172305, 42.5135744]"
"550 E MANDOLINE, MADISON HTS, MI","[-83.10113729999999, 42.5318321]"
"25428 JOHN R, MADISON HTS, MI","[-83.10444849999999, 42.4794855]"
"31850 SHERMAN DRIVE, MADISON HTS, MI","[-83.0950175, 42.5252839]"
"355 W GIRARD, MADISON HTS, MI","[-83.1099807, 42.5124897]"
"31440  STEPHENSON HWY., MADISON HTS, MI","[-83.1178171, 42.5239105]"
"1100 E. MANDOLINE AVE. SUITE 100, MADISON HTS, MI","[-83.0956882, 42.5314273]"
"31811 SHERMAN DR., MADISON HTS, MI","[-83.0964427, 42.5252936]"
"32470 INDUSTRIAL DR., MADISON HTS, MI","[-83.0899032, 42.5303916]"
"945 E 10 MILE RD, MADISON HTS, MI","[-83.096357, 42.476489]"
"31624 STEPHENSON HWY, MADISON HTS, MI","[-83.116959, 42.52568]"
"31271 STEPHENSON HWY, MADISON HTS, MI","[-83.12056779999999, 42.5224719]"
"32701 DEQUINDRE ROAD, MADISON HTS, MI","[-83.0876394, 42.5327722]"
"32500 N AVIS DRIVE, MADISON HTS, MI","[-83.0940114, 42.531021]"
"32251 NORTH AVIS DR, MADISON HTS, MI","[-83.0953528, 42.5292711]"
"1200 E 14 MILE ROAD, MADISON HTS, MI","[-83.0960235, 42.5335833]"
"31301 MALLY RD, MADISON HTS, MI","[-83.1168622, 42.5229049]"
"29111 STEPHENSON HIGHWAY, MADISON HTS, MI","[-83.1194933, 42.5063079]"
"12 MILE AND JOHN R, MADISON HTS, MI","[-83.105755, 42.5047609]"
"32601 INDUSTRIAL DR., MADISON HTS, MI","[-83.0914124, 42.5323135]"
"32505 INDUSTRIAL DRIVE, MADISON HTS, MI","[-83.0915801, 42.5312557]"
"32370 HOWARD STREET, MADISON HTS, MI","[-83.0987481, 42.5304294]"
"800 EAST 14 MILE ROAD, MADISON HTS, MI","[-83.0982032, 42.5338673]"
"31600 STEPHENSON HWY, MADISON HTS, MI","[-83.1178171, 42.5254364]"
"30800 STEPHENSON HWY, MADISON HTS, MI","[-83.1184876, 42.5175417]"
"32451 NORTH AVIS DRIVE, MADISON HTS, MI","[-83.0956882, 42.53020679999999]"
"27351 DEQUINDRE, MADISON HTS, MI","[-83.0870525, 42.4940492]"
"32565  DEQUINDRE, MADISON HTS, MI","[-83.08965169999999, 42.5316732]"
"31240 STEPHENSON HIGHWAY, MADISON HTS, MI","[-83.1180686, 42.5221708]"
"25855 COMMERCE, MADISON HTS, MI","[-83.0891906, 42.4824595]"
"31720 STEPHENSON HIGHWAY, MADISON HTS, MI","[-83.11882279999999, 42.5270227]"
"17800 DEQUINDRE, WARREN, MI","[-83.0834058, 42.4474917]"
"28505 N. WOODWARD, BERKLEY, MI","[-83.1682179, 42.4988097]"
"2727 W FOURTEEN MILE RD, ROYAL OAK, MI","[-83.17930299999999, 42.5314052]"
"2800 WEST 14 MILE ROAD, ROYAL OAK, MI","[-83.18047570000002, 42.5336746]"
"32778 WOODWARD AVENUE, ROYAL OAK, MI","[-83.1973438, 42.5300754]"
"4350 DELEMERE BLVD., ROYAL OAK, MI","[-83.17641429999999, 42.52875359999999]"
"4210 EDGELAND AVENUE, ROYAL OAK, MI","[-83.1787982, 42.5254129]"
"5130 MEIJER DR, ROYAL OAK, MI","[-83.1785495, 42.5383023]"
"4336 NORMANDY CT, ROYAL OAK, MI","[-83.1803496, 42.52791999999999]"
"3200 W  14 MILE RD, ROYAL OAK, MI","[-83.18466140000001, 42.532945]"
"2720 W. 14 MILE RD., ROYAL OAK, MI","[-83.1788844, 42.5337452]"
"4900 FERNLEE, ROYAL OAK, MI","[-83.1778796, 42.5344482]"
"4839 FERNLEE AVENUE, ROYAL OAK, MI","[-83.1783401, 42.5338272]"
"4727 CROOKS ROAD, ROYAL OAK, MI","[-83.1660935, 42.53262]"
"1620 E TWELVE MILE RD, ROYAL OAK, MI","[-83.1254222, 42.5041646]"
"2704 NORMANDY STREET, ROYAL OAK, MI","[-83.17817269999999, 42.525654]"
"2720 W. 14 MILE RD., ROYAL OAK, MI","[-83.1788844, 42.5337452]"
"3601 W. 13 MILE RD., ROYAL OAK, MI","[-83.1926982, 42.5151108]"
"750 SCOTT ROAD, KIMBALL TWP, MI","[-82.55561929999999, 42.9263318]"
"6797 SMITHS CREEK ROAD, SMITHS CREEK, MI","[-82.5935927, 42.9174618]"
"1900  RICHMAN, SMITHS CREEK, MI","[-82.602102, 42.959521]"
"6779  SMITHS CREEK ROAD, SMITHS CREEK, MI","[-82.5938638, 42.9150131]"
"NE 1/4 SEC 22 T27N R8E, BARTON CITY, MI","[-83.60604239999999, 44.6839498]"
"16001 WEST NINE MILE RD, SOUTHFIELD, MI","[-83.2029939, 42.4562392]"
"23500 NORTHWESTERN HWY, SOUTHFIELD, MI","[-83.2262579, 42.464188]"
"20920 EAST STREET, SOUTHFIELD, MI","[-83.30471709999999, 42.44379379999999]"
"19300 W EIGHT MILE RD, SOUTHFIELD, MI","[-83.3216582, 42.4419714]"
"16400 J L HUDSON DR, SOUTHFIELD, MI","[-83.21127949999999, 42.4534453]"
"20950 BOENING DR, SOUTHFIELD, MI","[-83.23483329999999, 42.4465485]"
"13425 CAPITAL STREET, OAK PARK, MI","[-83.1806008, 42.4544875]"
"26201 NORTHWESTERN HWY., SOUTHFIELD, MI","[-83.256455, 42.4802539]"
"29020 SOUTHFIELD RD, SOUTHFIELD, MI","[-83.2221371, 42.5027945]"
"7000 E 15 MILE RD, STERLING HTS, MI","[-83.03731239999999, 42.5498552]"
"11184 LAUREL COURT, STERLING HTS, MI","[-83.01754849999999, 42.5616498]"
"6700 SIMS DR, STERLING HTS, MI","[-83.0422629, 42.5886476]"
"7000 NINETEEN MILE RD, STERLING HTS, MI","[-83.0403331, 42.6079556]"
"2001 CHRISTIAN B HAAS DRIVE, SAINT CLAIR, MI","[-82.49405709999999, 42.8459443]"
"800 FRED MOORE HWY, SAINT CLAIR, MI","[-82.4938457, 42.8177036]"
"916 S. RIVERSIDE AVE., SAINT CLAIR, MI","[-82.48593609999999, 42.8184344]"
"2020 CHRISTIAN B HASS ER, SAINT CLAIR, MI","[-82.4957489, 42.84332819999999]"
"303 N. 3RD STREET, SAINT CLAIR, MI","[-82.48750110000002, 42.82623]"
"1811 SOUTH RANGE ROAD, SAINT CLAIR, MI","[-82.495335, 42.852466]"
"1230 CLINTON AVE, SAINT CLAIR, MI","[-82.498075, 42.8231353]"
"4851 GRATIOT AVENUE, SAINT CLAIR, MI","[-82.5139011, 42.9031289]"
"1940 FRED MOORE HWY, ST. CLAIR, MI","[-82.50784379999999, 42.8178264]"
"27950 HARPER, ST CLAIR SHRS, MI","[-82.89741149999999, 42.4991144]"
"27665 JEFFERSON AVE., ST CLAIR SHRS, MI","[-82.8893386, 42.4960948]"
"29600 HARPER AVENUE, ST CLAIR SHRS, MI","[-82.897832, 42.5108143]"
"1290 COMBERMERE ST, TROY, MI","[-83.1378441, 42.5448695]"
"2451 ELLIOT DR, TROY, MI","[-83.0979517, 42.5395727]"
"1145 ROCHESTER RD, TROY, MI","[-83.134985, 42.544096]"
"1350 STEPHENSON HWY, TROY, MI","[-83.11815240000001, 42.54620389999999]"
"500 ROBBINS, TROY, MI","[-83.101294, 42.5393092]"
"1955 STEPHENSON HWY, TROY, MI","[-83.12686769999999, 42.5531332]"
"777 JOHN R ROAD, TROY, MI","[-83.1086815, 42.5417446]"
"601 STEPHENSON HIGHWAY, TROY, MI","[-83.12121130000001, 42.5397145]"
"835 STEPHENSON HWY, TROY, MI","[-83.1211694, 42.5421144]"
"2341 ALGER DRIVE, TROY, MI","[-83.1110284, 42.55728970000001]"
"2500 EAST MAPLE ROAD, TROY, MI","[-83.0964562, 42.5492717]"
"364 MINNESOTA, TROY, MI","[-83.09543670000001, 42.5377431]"
"2111 STEPHENSON HWY., TROY, MI","[-83.1274543, 42.5541597]"
"3172 CEDAR CREST DRIVE, TROY, MI","[-83.09830800000002, 42.5661865]"
"209 PARK STREET, TROY, MI","[-83.1415304, 42.5444803]"
"1414 COMBERMERE DRIVE, TROY, MI","[-83.1380221, 42.5469042]"
"164 INDUSCO CT, TROY, MI","[-83.0930054, 42.5364523]"
"1225 E MAPLE, TROY, MI","[-83.12636499999999, 42.5495953]"
"865 STEPHENSON HWY, TROY, MI","[-83.1212532, 42.5425008]"
"3956 ROCHESTER RD, TROY, MI","[-83.1273496, 42.5766999]"
"1201 STEPHENSON HWY, TROY, MI","[-83.12175599999999, 42.544819]"
"11177 E. EIGHT MILE ROAD, WARREN, MI","[-83.014149, 42.449838]"
"41144 CONCEPT DRIVE, PLYMOUTH, MI","[-83.440861, 42.3804476]"
"2600 WEST BIG BEAVER ROAD, TROY, MI","[-83.18005099999999, 42.5629457]"
"830 KIRST BLVD., SUITE 100, TROY, MI","[-83.1592711, 42.5577395]"
"1696 MAXWELL ST, TROY, MI","[-83.1797217, 42.5501179]"
"2040 BARRETT RD, TROY, MI","[-83.15825230000002, 42.551725]"
"1902 NORTHWOOD, TROY, MI","[-83.1627226, 42.5525354]"
"2566 INDUSTRIAL ROW, TROY, MI","[-83.17813079999999, 42.5412521]"
"1759 MAPLELAWN RD, TROY, MI","[-83.1705109, 42.5512464]"
"1625 W MAPLE RD, TROY, MI","[-83.1684174, 42.5470796]"
"1151 CROOKS RD, TROY, MI","[-83.1677474, 42.5421583]"
"1850 SOUTH BOULEVARD, TROY, MI","[-83.2472075, 42.6199678]"
"2585 W MAPLE RD, TROY, MI","[-83.1806008, 42.5471578]"
"1401 CROOKS RD, TROY, MI","[-83.1685849, 42.5448015]"
"348 PARK STREET, TROY, MI","[-83.1395197, 42.5426819]"
"2135 W MAPLE RD, TROY, MI","[-83.1761212, 42.546929]"
"1893 BARRETT RD, TROY, MI","[-83.1597913, 42.5498438]"
"1972 MEIJER DR, TROY, MI","[-83.1700085, 42.5409966]"
"2240 CUNNINGHAM DR, TROY, MI","[-83.1919448, 42.5650284]"
"2862 WEST MAPLE, TROY, MI","[-83.1848498, 42.5486502]"
"1837 THUNDERBIRD., TROY, MI","[-83.1545984, 42.5519736]"
"1035 CROOKS ROAD, TROY, MI","[-83.16699369999999, 42.54066419999999]"
"1961 THUNDERBIRD, TROY, MI","[-83.1546821, 42.55358]"
"33180 KELLY RD., CLINTON TWP, MI","[-82.928895, 42.5409962]"
"5032 N DORT HWY, FLINT, MI","[-83.6732419, 43.059953]"
"21300 8 MILE RD, SOUTHFIELD, MI","[-83.25244070000001, 42.4448744]"
"VANDYKE AND HALL, UTICA, MI","[-83.0308769, 42.6255635]"
"45014 CASS, UTICA, MI","[-83.03308, 42.6262014]"
"22720 NAGEL STREET, WARREN, MI","[-83.001179, 42.461458]"
"21353 EDOM, WARREN, MI","[-82.9998567, 42.4537965]"
"23849 GROESBECK HIGHWAY, WARREN, MI","[-82.9871988, 42.4704155]"
"11350 STEPHENS ST, WARREN, MI","[-83.0101198, 42.4700611]"
"24135 GIBSON DRIVE, WARREN, MI","[-83.0036137, 42.4722217]"
"8701 EIGHT MILE RD, WARREN, MI","[-83.01540810000002, 42.45014399999999]"
"23601 HOOVER ROAD, WARREN, MI","[-83.0068458, 42.4679521]"
"13355 E 10 MILE RD, WARREN, MI","[-82.9885797, 42.4799461]"
"21590 HOOVER ROAD, WARREN, MI","[-83.0042433, 42.4548858]"
"23330 PINEWOOD, WARREN, MI","[-83.04663599999999, 42.465048]"
"11425 TIMKEN, WARREN, MI","[-83.0093642, 42.4679532]"
"11400 E NINE MILE RD, WARREN, MI","[-83.0100358, 42.4631066]"
"23655 HOOVER ROAD, WARREN, MI","[-83.0084408, 42.46843130000001]"
"13251 STEPHENS ROAD, WARREN, MI","[-82.98904619999999, 42.4734302]"
"24600 INDUSTRIAL HWY, WARREN, MI","[-82.9887103, 42.4761583]"
"23514 GROESBECK HIGHWAY, WARREN, MI","[-82.9878706, 42.4678603]"
"23230 AMBER STREET, WARREN, MI","[-82.9968131, 42.4652386]"
"12880 EAST 9 MILE ROAD, WARREN, MI","[-82.9932446, 42.4631492]"
"26801 GROESBECK HWY, WARREN, MI","[-82.9712417, 42.4924921]"
"23605 GROESBECK HIGHWAY, WARREN, MI","[-82.9879965, 42.4696626]"
"24201 GIBSON DR, WARREN, MI","[-83.0035297, 42.4730565]"
"13650 E TEN MILE RD, WARREN, MI","[-82.98480099999999, 42.477908]"
"21725 GROESBECK HIGHWAY, WARREN, MI","[-82.998041, 42.4570558]"
"25040 EASY ST, WARREN, MI","[-82.9754413, 42.4796203]"
"24060 HOOVER RD, WARREN, MI","[-83.0047471, 42.471871]"
"101 PICARD STREET, BAY CITY, MI","[-83.8633825, 43.6106364]"
"26400 SHERWOOD AVENUE, WARREN, MI","[-83.03915839999999, 42.4881697]"
"21756 DEQUINDRE RD, WARREN, MI","[-83.08339529999999, 42.4557799]"
"23745 MOUND, WARREN, MI","[-83.046458, 42.46868509999999]"
"6200 E 11 MILE RD, WARREN, MI","[-83.0427244, 42.4910201]"
"6401 EAST EIGHT MILE ROAD, WARREN, MI","[-83.03810949999999, 42.45011359999999]"
"22800  MOUND RD., WARREN, MI","[-83.0408365, 42.460477]"
"21500  MOUND ROAD, WARREN, MI","[-83.0408365, 42.4555885]"
"24657 MOUND ROAD, WARREN, MI","[-83.0460804, 42.47473300000001]"
"22600 SHERWOOD, WARREN, MI","[-83.0345852, 42.460135]"
"6795 E. 9 MILE ROAD, WARREN, MI","[-83.0325713, 42.4631439]"
"6275 NINE MILE RD., WARREN, MI","[-83.0375104, 42.4629445]"
"26400 SHERWOOD, WARREN, MI","[-83.03915839999999, 42.4881697]"
"21251 RYAN RD, WARREN, MI","[-83.06457759999999, 42.4519111]"
"23343 SHERWOOD AVE., WARREN, MI","[-83.0364733, 42.4660162]"
"25737 SHERWOOD AVE, WARREN, MI","[-83.04041699999999, 42.48282589999999]"
"6781 MAXWELL AVE, WARREN, MI","[-83.0329069, 42.4615604]"
"2125 RIGGS AVE, WARREN, MI","[-83.0810624, 42.4788487]"
"23080 DEQUINDRE, WARREN, MI","[-83.08379, 42.46313]"
"2088 RIGGS AVE, WARREN, MI","[-83.08156029999999, 42.4782573]"
"5775 10 MILE RD, WARREN, MI","[-83.0473809, 42.4778281]"
"25411 RYAN ROAD, WARREN, MI","[-83.0675132, 42.47966]"
"23660 SHERWOOD, WARREN, MI","[-83.0349628, 42.4676044]"
"23500 SHERWOOD, WARREN, MI","[-83.0336202, 42.4669118]"
"1300 RANKIN, TROY, MI","[-83.12499299999999, 42.542013]"
"27767 GEORGE MERRELLI DR., WARREN, MI","[-83.03596979999999, 42.4972882]"
"6500 EAST 14 MILE ROAD, WARREN, MI","[-83.04004429999999, 42.5331449]"
"7500 TANK AVE, WARREN, MI","[-83.031774, 42.4968802]"
"7214 MURTHUM, WARREN, MI","[-83.03269879999999, 42.5286486]"
"31295 CHARLES KETTERING ROAD, WARREN, MI","[-83.0421332, 42.5228609]"
"32899 VAN DYKE AVENUE, WARREN, MI","[-83.0312915, 42.5356669]"
"25501 SHERWOOD, WARREN, MI","[-83.0394101, 42.481085]"
"14700 BARBER, WARREN, MI","[-82.97267099999999, 42.495261]"
"28201 VAN DYKE AVE., WARREN, MI","[-83.0297228, 42.50027559999999]"
"32360  WARKOP, WARREN, MI","[-83.01935309999999, 42.5336618]"
"6019 26 MILE RD, WASHINGTON, MI","[-83.0543026, 42.7132271]"
"2101 INWOOD RD, ROMEO, MI","[-83.091786, 42.76676399999999]"
"12700  30 MILE ROAD, WASHINGTON, MI","[-83.0053329, 42.767423]"
"12708 30 MILE RD, WASHINGTON, MI","[-83.0081676, 42.7726647]"
"4389 LESSING DR, WATERFORD, MI","[-83.417699, 42.70202]"
"24551 29 MILE RD, RAY TWP, MI","[-82.869469, 42.767117]"
"68211 & 68233 OMO ROAD, RAY TWP, MI","[-82.86298029999999, 42.8003791]"
"51455 W 12 MILE ROAD, WIXOM, MI","[-83.50704789999999, 42.4946443]"
"90 JEAN STREET, YALE, MI","[-82.7891027, 43.13133670000001]"
"6022 ROCHESTER RD, TROY, MI","[-83.12860649999999, 42.6077871]"
"5586 SPRINGBROOK, TROY, MI","[-83.1898729, 42.59945039999999]"
"500 W LONG LAKE RD, TROY, MI","[-83.15870249999999, 42.5937627]"
"789 DREW DR, TROY, MI","[-83.16500479999999, 42.6110331]"
"5937 JOHN R ROAD, TROY, MI","[-83.11084199999999, 42.6065712]"
"621 W LONG LAKE ROAD, TROY, MI","[-83.1635601, 42.5856707]"
"44201 DEQUINDRE RD, TROY, MI","[-83.0929196, 42.61863]"
"585 STEPHENSON HWY, TROY, MI","[-83.1215046, 42.53877869999999]"
"7500 FOX, ALLEN PARK, MI","[-83.2056722, 42.250628]"
"17000 SOUTHFIELD RD, ALLEN PARK, MI","[-83.2186436, 42.2658909]"
"17000 OAKWOOD, ALLEN PARK, MI","[-83.1989912, 42.2875875]"
"14700 MORAN ROAD, ALLEN PARK, MI","[-83.205389, 42.2304022]"
"4495 JACKSON RD, ANN ARBOR, MI","[-83.8188361, 42.2852957]"
"4495 JACKSON RD, ANN ARBOR, MI","[-83.8188361, 42.2852957]"
"857 S WAGNER RD, ANN ARBOR, MI","[-83.79860819999999, 42.2700103]"
"3285 W LIBERTY, ANN ARBOR, MI","[-83.78986599999999, 42.2730337]"
"289 METTY DRIVE, ANN ARBOR, MI","[-83.866411, 42.297142]"
"208 HAEUSSLER, ANN ARBOR, MI","[-83.8151268, 42.283619]"
"251 JACKSON PLAZA, SUITE K, ANN ARBOR, MI","[-83.80159499999999, 42.28094]"
"5411 JACKSON RD, ANN ARBOR, MI","[-83.8363644, 42.2865077]"
"2300 WEST STADIUM BLVD., ANN ARBOR, MI","[-83.7776272, 42.2762392]"
"600 S WAGNER RD, ANN ARBOR, MI","[-83.80072249999999, 42.2773751]"
"288 DINO DR, ANN ARBOR, MI","[-83.88192269999999, 42.289101]"
"100 N STAEBLER, ANN ARBOR, MI","[-83.8566627, 42.29319659999999]"
"2575 S. ZEEB RD, ANN ARBOR, MI","[-83.8364131, 42.2486047]"
"6200 JACKSON RD, ANN ARBOR, MI","[-83.8519408, 42.2913327]"
"7101 JACKSON RD, ANN ARBOR, MI","[-83.8696667, 42.29182160000001]"
"6068 STEINBACH RD, FREEDOM TWP, MI","[-83.9147711, 42.1948106]"
"7232 JACKSON ROAD, SCIO TWP, MI","[-83.8723997, 42.2938852]"
"293 AND 300 DINO DRIVE, SCIO TWP, MI","[-83.8818399, 42.2879459]"
"2700 S. INDUSTRIAL HIGHWAY, ANN ARBOR, MI","[-83.7319503, 42.2476222]"
"1254 N. MAIN ST, ANN ARBOR, MI","[-83.7463291, 42.2953805]"
"2925 BOARDWALK, ANN ARBOR, MI","[-83.7334444, 42.2446335]"
"323 E WASHINGTON ST, ANN ARBOR, MI","[-83.7451496, 42.2806529]"
"ANN ARBOR TECHNOLOGY PARK, ANN ARBOR, MI","[-83.85061970000001, 42.2894936]"
"49 SOUTH DIXBORO ROAD, ANN ARBOR, MI","[-83.66537, 42.2700122]"
"789 N DIXBORO RD, ANN ARBOR, MI","[-83.6749004, 42.2830831]"
"2799 PLYMOUTH RD, ANN ARBOR, MI","[-83.7048021, 42.30282709999999]"
"1555 WOODRIDGE, ANN ARBOR, MI","[-83.6780574, 42.2978282]"
"1451 GREEN RD, ANN ARBOR, MI","[-83.6930508, 42.2946283]"
"2565 PLYMOUTH RD, ANN ARBOR, MI","[-83.7111128, 42.3040935]"
"2215 FULLER RD, ANN ARBOR, MI","[-83.7152643, 42.2863768]"
"5301 E HURON RIVER DR, ANN ARBOR, MI","[-83.65442709999999, 42.2652597]"
"5555 N ZEEB, ANN ARBOR, MI","[-83.8387942, 42.2991669]"
"415 W WASHINGTON, ANN ARBOR, MI","[-83.75194309999999, 42.2800944]"
"4622 RUNWAY BOULEVARD, ANN ARBOR, MI","[-83.7323653, 42.2193143]"
"1801 E ELLSWORTH RD, ANN ARBOR, MI","[-83.7214079, 42.2303867]"
"1180 E. ELLSWORTH RD, ANN ARBOR, MI","[-83.7240644, 42.2286894]"
"560 AVIS DR, ANN ARBOR, MI","[-83.7390053, 42.2138401]"
"3735 VARSITY DRIVE, ANN ARBOR, MI","[-83.7253927, 42.2345973]"
"4683 FREEDOM DRIVE, ANN ARBOR, MI","[-83.69536740000001, 42.220097]"
"4150 VARSITY DR, ANN ARBOR, MI","[-83.7269699, 42.2260073]"
"1239  KIPKE DR, ANN ARBOR, MI","[-83.74395539999999, 42.265239]"
"41241 EDISON LAKE RD, BELLEVILLE, MI","[-83.443404, 42.2123723]"
"1785 RAWSONVILLE RD, BELLEVILLE, MI","[-83.5406654, 42.2205004]"
"385 SUMPTER RD, BELLEVILLE, MI","[-83.4838163, 42.2005817]"
"48649 SCHOONER DRIVE, BELLEVILLE, MI","[-83.5166826, 42.2572143]"
"11250 HAGGERTY ROAD, BELLEVILLE, MI","[-83.44123979999999, 42.2225897]"
"41000 HURON RIVER DR, BELLEVILLE, MI","[-83.4415525, 42.2107653]"
"7200 RAWSONVILLE RD, BELLEVILLE, MI","[-83.544996, 42.18593]"
"9000 HAGGERTY ROAD, BELLEVILLE, MI","[-83.44796099999999, 42.237129]"
"12611 HAGGERTY RD., BELLEVILLE, MI","[-83.43886690000001, 42.2111627]"
"8707 SAMUEL BARTON DRIVE, BELLEVILLE, MI","[-83.441233, 42.239613]"
"8509 RAWSONVILLE RD, BELLEVILLE, MI","[-83.53605600000002, 42.167035]"
"44800 NORTH I-94 SERVICE DRIVE, BELLEVILLE, MI","[-83.4782744, 42.2211905]"
"49350 N. I 94 SERVICE DR, BELLEVILLE, MI","[-83.524588, 42.220843]"
"46805  WILLOW RD, SUMPTER TWP, MI","[-83.49678899999999, 42.1118499]"
"50550 BEMIS, VAN BUREN TWP, MI","[-83.534711, 42.176371]"
"9059 SAMUEL BARTON DR, VAN BUREN TWP, MI","[-83.44052900000001, 42.236809]"
"41200 COCA-COLA DRIVE, VAN BUREN TWP, MI","[-83.44374839999999, 42.243328]"
"10800 BLACKMORE AVE, YPSILANTI TWP, MI","[-83.5465973, 42.1964712]"
"4369 SOUTH OLD US 23, BRIGHTON, MI","[-83.75254699999999, 42.5386028]"
"7676 RUSHTON ROAD, BRIGHTON, MI","[-83.699861, 42.4939299]"
"8300 BOETTNER RD, BRIDGEWATER, MI","[-83.9031372, 42.1628735]"
"7392 KENSINGTON RD, BRIGHTON, MI","[-83.6900339, 42.497648]"
"9984 BORDERLINE DRIVE, BRIGHTON, MI","[-83.763235, 42.5175237]"
