agency facility id,pollutant type(s),pollutant type(s)
AIRPORT59MI,HAP,32
AIRPORT5D5,HAP,32
AIRPORT5MI0,HAP,32
AIRPORT5MI1,HAP,26
AIRPORT5MI5,HAP,32
AIRPORT5MI6,HAP,32
AIRPORT5MI7,HAP,26
AIRPORT5MI8,HAP,26
AIRPORT5MI9,HAP,32
AIRPORT5N7,HAP,32
AIRPORT5Y0,HAP,32
AIRPORT5Y1,HAP,32
AIRPORT5Y2,HAP,32
AIRPORT5Y4,HAP,32
AIRPORT5Y5,HAP,32
AIRPORT5Y7,HAP,32
AIRPORT60G,HAP,32
AIRPORT60MI,HAP,26
AIRPORT61D,HAP,32
AIRPORT61G,HAP,32
AIRPORT61MI,HAP,32
AIRPORT63MI,HAP,32
AIRPORT64MI,HAP,32
AIRPORT65G,HAP,32
AIRPORT65MI,HAP,32
AIRPORT66G,HAP,32
AIRPORT66MI,HAP,26
AIRPORT68G,HAP,32
AIRPORT68R,HAP,32
AIRPORT69G,HAP,32
AIRPORT6D6,HAP,32
AIRPORT6D9,HAP,32
AIRPORT6G0,HAP,32
AIRPORT6G8,HAP,32
AIRPORT6H4,HAP,32
AIRPORT6MI0,HAP,26
AIRPORT6MI1,HAP,26
AIRPORT6MI3,HAP,26
AIRPORT6MI4,HAP,32
AIRPORT6MI6,HAP,26
AIRPORT6MI7,HAP,26
AIRPORT6MI8,HAP,32
AIRPORT6MI9,HAP,32
AIRPORT6Y0,HAP,32
AIRPORT6Y1,HAP,32
AIRPORT6Y6,HAP,32
AIRPORT6Y8,HAP,32
AIRPORT6Y9,HAP,32
AIRPORT72MI,HAP,32
AIRPORT73MI,HAP,32
AIRPORT75G,HAP,32
AIRPORT75MI,HAP,26
AIRPORT76G,HAP,32
AIRPORT77G,HAP,32
AIRPORT78MI,HAP,32
AIRPORT79MI,HAP,26
AIRPORT7D3,HAP,32
AIRPORT7MI0,HAP,32
AIRPORT7MI1,HAP,32
AIRPORT7MI3,HAP,26
AIRPORT7MI5,HAP,32
AIRPORT7MI6,HAP,26
AIRPORT7MI7,HAP,26
AIRPORT7MI8,HAP,26
AIRPORT7MI9,HAP,32
AIRPORT7N4,HAP,32
AIRPORT7Y2,HAP,32
AIRPORT80D,HAP,26
AIRPORT83D,HAP,32
AIRPORT84MI,HAP,32
AIRPORT85MI,HAP,26
AIRPORT86MI,HAP,32
AIRPORT88G,HAP,32
AIRPORT89Y,HAP,32
AIRPORT8D4,HAP,32
AIRPORT8M8,HAP,32
AIRPORT8MI2,HAP,32
AIRPORT8MI3,HAP,32
AIRPORT8MI6,HAP,32
AIRPORT8MI7,HAP,26
AIRPORT8MI9,HAP,26
AIRPORT95MI,HAP,26
AIRPORT96G,HAP,32
AIRPORT97G,HAP,32
AIRPORT98G,HAP,32
AIRPORT98MI,HAP,32
AIRPORT9C8,HAP,32
AIRPORT9D9,HAP,32
AIRPORT9G2,HAP,32
AIRPORT9MI0,HAP,32
AIRPORT9MI1,HAP,32
AIRPORT9MI2,HAP,26
AIRPORT9MI3,HAP,32
AIRPORT9MI6,HAP,26
AIRPORT9MI7,HAP,32
AIRPORT9MI8,HAP,32
AIRPORT9MI9,HAP,32
AIRPORTACB,HAP,32
AIRPORTADG,HAP,32
AIRPORTAMN,HAP,32
AIRPORTANJ,HAP,32
AIRPORTAPN,HAP,34
AIRPORTARB,HAP,34
AIRPORTAZO,HAP,33
AIRPORTBAX,HAP,32
AIRPORTBEH,HAP,32
AIRPORTBFA,HAP,32
AIRPORTBIV,HAP,32
AIRPORTBTL,HAP,33
AIRPORTC04,HAP,32
AIRPORTC20,HAP,32
AIRPORTC43,HAP,32
AIRPORTC91,HAP,32
AIRPORTCAD,HAP,33
AIRPORTCFS,HAP,32
AIRPORTCIU,HAP,34
