agency facility id,pollutant type(s),pollutant type(s)
N5578,HAP,1
N5581,HAP,53
N5582,HAP,7
N5586,HAP,45
N5597,HAP,51
N5599,HAP,1
N5626,HAP,38
N5675,HAP,4
N5688,HAP,32
N5716,HAP,2
N5719,HAP,6
N5724,HAP,23
N5733,HAP,1
N5747,HAP,35
N5748,HAP,24
N5760,HAP,32
N5772,HAP,42
N5778,HAP,37
N5792,HAP,46
N5797,HAP,32
N5798,HAP,41
N5810,HAP,10
N5814,HAP,15
N5831,HAP,41
N5841,HAP,24
N5842,HAP,24
N5866,HAP,32
N5880,HAP,38
N5886,HAP,1
N5887,HAP,33
N5930,HAP,32
N5933,HAP,24
N5934,HAP,24
N5935,HAP,41
N5936,HAP,41
N5937,HAP,24
N5940,HAP,34
N5955,HAP,22
N5957,HAP,14
N5963,HAP,24
N5987,HAP,1
N5989,HAP,40
N5996,HAP,1
N5997,HAP,1
N5998,HAP,24
N6000,HAP,14
N6004,HAP,14
N6005,HAP,24
N6012,HAP,1
N6013,HAP,32
N6015,HAP,41
N6016,HAP,36
N6022,HAP,24
N6033,HAP,25
N6035,HAP,14
N6037,HAP,27
N6038,HAP,1
N6039,HAP,26
N6049,HAP,40
N6050,HAP,24
N6053,HAP,40
N6054,HAP,41
N6056,HAP,40
N6058,HAP,41
N6060,HAP,24
N6064,HAP,40
N6065,HAP,1
N6066,HAP,1
N6067,HAP,40
N6068,HAP,1
N6069,HAP,1
N6070,HAP,1
N6071,HAP,1
N6072,HAP,1
N6074,HAP,1
N6076,HAP,24
N6079,HAP,24
N6080,HAP,40
N6083,HAP,25
N6084,HAP,24
N6086,HAP,24
N6088,HAP,24
N6091,HAP,40
N6094,HAP,25
N6096,HAP,24
N6099,HAP,24
N6102,HAP,24
N6103,HAP,24
N6104,HAP,45
N6107,HAP,40
N6109,HAP,24
N6113,HAP,40
N6114,HAP,24
N6116,HAP,24
N6118,HAP,24
N6119,HAP,24
N6120,HAP,24
N6121,HAP,24
N6124,HAP,24
N6125,HAP,41
N6126,HAP,24
N6128,HAP,40
N6130,HAP,24
N6131,HAP,24
N6133,HAP,40
N6135,HAP,24
N6136,HAP,40
N6138,HAP,40
N6141,HAP,41
N6142,HAP,41
N6143,HAP,41
N6144,HAP,41
N6145,HAP,40
N6146,HAP,41
N6148,HAP,24
N6149,HAP,40
N6150,HAP,24
N6151,HAP,40
N6152,HAP,41
N6153,HAP,41
N6154,HAP,40
N6155,HAP,40
N6156,HAP,41
N6157,HAP,41
N6158,HAP,40
N6160,HAP,24
N6171,HAP,14
N6182,HAP,24
N6183,HAP,24
N6185,HAP,40
N6188,HAP,40
N6189,HAP,41
N6191,HAP,41
N6192,HAP,41
N6196,HAP,24
N6197,HAP,24
N6218,HAP,4
N6220,HAP,1
N6221,HAP,24
N6226,HAP,35
N6229,HAP,1
N6231,HAP,24
N6233,HAP,24
N6234,HAP,24
N6235,HAP,44
N6241,HAP,24
N6242,HAP,41
N6249,HAP,36
N6251,HAP,17
N6261,HAP,5
N6266,HAP,7
N6279,HAP,40
N6281,HAP,1
N6283,HAP,24
N6306,HAP,24
N6307,HAP,24
N6317,HAP,24
N6322,HAP,41
N6327,HAP,6
N6338,HAP,24
N6346,HAP,24
N6355,HAP,24
N6358,HAP,32
N6385,HAP,24
N6388,HAP,32
N6391,HAP,24
N6413,HAP,24
N6427,HAP,11
N6429,HAP,24
N6430,HAP,24
N6431,HAP,40
N6432,HAP,24
N6443,HAP,40
N6444,HAP,24
N6446,HAP,40
N6448,HAP,24
N6452,HAP,2
N6453,HAP,24
N6488,HAP,24
N6496,HAP,2
N6515,HAP,2
N6521,HAP,32
N6524,HAP,11
N6526,HAP,20
N6537,HAP,7
N6560,HAP,40
N6561,HAP,1
N6577,HAP,32
N6578,HAP,1
N6579,HAP,38
N6589,HAP,24
N6593,HAP,2
N6594,HAP,1
N6599,HAP,24
N6600,HAP,24
N6603,HAP,11
N6608,HAP,24
N6609,HAP,24
N6611,HAP,2
N6626,HAP,32
N6631,HAP,39
N6646,HAP,1
N6664,HAP,24
N6704,HAP,24
N6705,HAP,24
N6707,HAP,5
N6726,HAP,32
N6731,HAP,20
N6744,HAP,41
N6749,HAP,24
N6750,HAP,24
N6760,HAP,1
N6762,HAP,24
N6764,HAP,40
N6767,HAP,39
N6769,HAP,2
N6791,HAP,1
N6804,HAP,24
N6833,HAP,32
N6837,HAP,24
N6838,HAP,49
N6849,HAP,24
N6850,HAP,24
N6851,HAP,24
N6861,HAP,24
N6866,HAP,32
N6873,HAP,21
N6874,HAP,1
N6880,HAP,24
N6883,HAP,24
N6901,HAP,24
N6907,HAP,24
N6913,HAP,24
N6914,HAP,24
N6939,HAP,40
N6946,HAP,41
N6947,HAP,24
N6950,HAP,43
N6957,HAP,24
N6962,HAP,6
N6974,HAP,24
N6976,HAP,32
N6980,HAP,35
N6989,HAP,6
N6995,HAP,40
N6996,HAP,35
N6999,HAP,24
N7011,HAP,24
N7015,HAP,24
N7022,HAP,41
N7031,HAP,24
N7065,HAP,41
N7090,HAP,40
N7092,HAP,40
N7093,HAP,41
N7094,HAP,40
N7096,HAP,32
N7113,HAP,21
N7121,HAP,38
N7123,HAP,24
N7132,HAP,34
N7146,HAP,6
N7147,HAP,1
N7151,HAP,24
N7166,HAP,1
N7168,HAP,24
N7174,HAP,1
N7190,HAP,40
N7191,HAP,5
N7202,HAP,32
N7217,HAP,24
N7232,HAP,24
N7246,HAP,37
N7256,HAP,1
N7259,HAP,24
N7271,HAP,43
N7284,HAP,40
N7288,HAP,24
N7289,HAP,36
N7303,HAP,32
N7320,HAP,6
N7321,HAP,1
N7330,HAP,41
N7341,HAP,25
N7349,HAP,32
N7353,HAP,5
N7362,HAP,1
N7374,HAP,5
N7375,HAP,24
N7383,HAP,36
N7385,HAP,24
N7390,HAP,24
N7392,HAP,24
N7406,HAP,41
N7407,HAP,24
N7409,HAP,24
N7411,HAP,36
N7412,HAP,24
N7413,HAP,6
N7415,HAP,37
N7418,HAP,5
N7421,HAP,57
N7422,HAP,3
N7425,HAP,1
N7436,HAP,32
N7438,HAP,5
N7453,HAP,40
N7454,HAP,24
N7456,HAP,24
N7457,HAP,40
N7458,HAP,24
N7460,HAP,6
N7462,HAP,40
N7463,HAP,40
N7465,HAP,40
N7467,HAP,40
N7470,HAP,40
N7472,HAP,40
N7482,HAP,24
N7488,HAP,40
N7493,HAP,33
N7519,HAP,4
N7523,HAP,40
N7525,HAP,40
N7526,HAP,40
N7531,HAP,40
N7532,HAP,40
N7537,HAP,24
N7538,HAP,24
N7556,HAP,24
N7560,HAP,24
N7561,HAP,40
N7569,HAP,6
N7575,HAP,40
N7581,HAP,20
N7592,HAP,40
N7595,HAP,24
N7607,HAP,24
N7618,HAP,24
N7624,HAP,49
N7631,HAP,24
N7688,HAP,36
N7706,HAP,40
N7723,HAP,11
N7764,HAP,4
N7782,HAP,24
N7795,HAP,1
N7807,HAP,6
N7809,HAP,32
N7813,HAP,24
N7817,HAP,41
N7820,HAP,24
N7822,HAP,24
N7824,HAP,40
N7825,HAP,24
N7826,HAP,24
N7828,HAP,24
N7831,HAP,24
N7832,HAP,24
N7834,HAP,24
N7844,HAP,11
N7858,HAP,24
N7862,HAP,40
N7864,HAP,2
N7868,HAP,24
N7873,HAP,24
N7886,HAP,47
N7888,HAP,3
N7900,HAP,24
N7901,HAP,41
N7906,HAP,1
N7907,HAP,1
N7927,HAP,1
N7943,HAP,24
N7961,HAP,24
N7982,HAP,1
N7996,HAP,24
N8018,HAP,24
N8032,HAP,41
N8040,HAP,1
N8041,HAP,41
N8055,HAP,6
N8066,HAP,24
N8070,HAP,24
N8075,HAP,40
N8078,HAP,24
N8087,HAP,11
N8151,HAP,49
N8162,HAP,48
N8170,HAP,40
N8174,HAP,11
N8182,HAP,41
N8192,HAP,32
N8204,HAP,1
N8242,HAP,24
N8248,HAP,4
N8252,HAP,24
N8256,HAP,24
N8258,HAP,24
N8265,HAP,32
N8270,HAP,32
N8273,HAP,35
N8295,HAP,45
N8302,HAP,24
N8304,HAP,11
N8308,HAP,33
N8327,HAP,24
P0006,HAP,40
P0008,HAP,11
P0014,HAP,24
P0015,HAP,24
P0016,HAP,24
P0020,HAP,40
P0023,HAP,40
P0024,HAP,32
P0033,HAP,40
P0036,HAP,40
P0037,HAP,40
P0039,HAP,40
P0042,HAP,40
P0043,HAP,40
P0059,HAP,1
P0068,HAP,24
P0087,HAP,35
P0090,HAP,24
P0100,HAP,24
P0137,HAP,24
P0152,HAP,35
P0195,HAP,24
P0197,HAP,24
P0198,HAP,45
P0206,HAP,45
P0218,HAP,1
P0243,HAP,35
P0260,HAP,41
P0268,HAP,24
P0269,HAP,24
P0271,HAP,2
P0293,HAP,1
P0336,HAP,35
P0358,HAP,24
P0359,HAP,3
P0362,HAP,5
P0367,HAP,2
P0374,HAP,11
P0375,HAP,20
P0377,HAP,24
P0384,HAP,1
P0402,HAP,23
P0408,HAP,10
P0411,HAP,24
P0417,HAP,1
P0429,HAP,15
P0435,HAP,40
P0437,HAP,1
P0443,HAP,44
P0445,HAP,34
P0446,HAP,40
P0448,HAP,34
P0457,HAP,5
P0465,HAP,39
P0468,HAP,36
P0478,HAP,24
P0479,HAP,1
P0480,HAP,24
P0486,HAP,24
P0505,HAP,11
P0515,HAP,2
P0517,HAP,36
P0526,HAP,24
P0530,HAP,23
P0534,HAP,11
P0539,HAP,24
P0544,HAP,24
P0547,HAP,11
P0556,HAP,24
P0566,HAP,24
P0578,HAP,1
P0582,HAP,32
P0585,HAP,57
P0594,HAP,26
P0598,HAP,44
P0599,HAP,24
P0615,HAP,32
P0625,HAP,35
P0627,HAP,24
P0634,HAP,1
P0636,HAP,1
P0637,HAP,35
P0640,HAP,35
P0666,HAP,1
P0668,HAP,47
P0691,HAP,24
P0709,HAP,11
P0711,HAP,1
P0727,HAP,32
P0734,HAP,11
P0735,HAP,41
P0743,HAP,24
P0755,HAP,24
P0758,HAP,38
P0775,HAP,24
P0777,HAP,41
P0779,HAP,32
P0791,HAP,24
P0798,HAP,24
P0817,HAP,1
P0825,HAP,24
P0828,HAP,24
P0862,HAP,3
