id,name,address,city,zip_code,county,full_address
U822000580,VACANT COMMERCIAL PROPERTY,6332 MIDDLEBELT,GARDEN CITY,48135,WAYNE,"6332 MIDDLEBELT, GARDEN CITY, MI"
U471604422,MONROE RUBBISH- EQUIPMENT STORAGE AND PAINT BOOTH,FEATHERLY DRIVE,HAMBURG,48139,LIVINGSTON,"FEATHERLY DRIVE, HAMBURG, MI"
U471604420,MONROE RUBBISH- TRANSFER STATION,10025 INDUSTRIAL DRIVE,HAMBURG,48139,LIVINGSTON,"10025 INDUSTRIAL DRIVE, HAMBURG, MI"
U821906565,VACANT BUILDING,26229 MICHIGAN AVE,INKSTER,48141,WAYNE,"26229 MICHIGAN AVE, INKSTER, MI"
U822002387,VACANT COMMERCIAL BUILDINGS,2226 AND 2228 INKSTER RD.,INKSTER,48141,WAYNE,"2226 AND 2228 INKSTER RD., INKSTER, MI"
U821704329,FORMER VFW CPL LAMBERT PFEIFFER POST,16736 ECORSE ROAD,ALLEN PARK,48150,WAYNE,"16736 ECORSE ROAD, ALLEN PARK, MI"
U821611421,CLOVERLANES BOWL,28900 SCHOOLCRAFT,LIVONIA,48150,WAYNE,"28900 SCHOOLCRAFT, LIVONIA, MI"
U821510261,OKERSTROM BUILDING,13520 MERRIMAN RD,LIVONIA,48150,WAYNE,"13520 MERRIMAN RD, LIVONIA, MI"
U821709459,BJS RESTAURANT,19470 HAGGERTY RD,LIVONIA,48152,WAYNE,"19470 HAGGERTY RD, LIVONIA, MI"
U821609511,HOLMES MIDDLE SCHOOL,16200 NEWBURGH RD.,LIVONIA,48154,WAYNE,"16200 NEWBURGH RD., LIVONIA, MI"
U812100043,FORMER YORKTOWN LIQUOR,1255 MILAN OAKVILLE ROAD,MILAN,48160,WASHTENAW,"1255 MILAN OAKVILLE ROAD, MILAN, MI"
U581701232,COMMERCIAL BUILDING WITH 6 ATTACHED APARTMENTS,40 S. MONROE,MONROE,48161,MONROE,"40 S. MONROE, MONROE, MI"
U581611031,FORMER FRIENDLY FORD DEALERSHIP,1011 S. MONROE,MONROE,48161,MONROE,"1011 S. MONROE, MONROE, MI"
U581607696,SOUTH MONROE ELEMENTARY SCHOOL,15488 EASTWOOD,MONROE,48161,MONROE,"15488 EASTWOOD, MONROE, MI"
U582102229,FORMER MOBIL GAS STATION,7051 N. MONROE STREET,MONROE,48162,MONROE,"7051 N. MONROE STREET, MONROE, MI"
U582102231,FORMER RESTAURANT,7015 N. MONROE STREET,MONROE,48162,MONROE,"7015 N. MONROE STREET, MONROE, MI"
U821808210,WALTZ RD. BRIDGE,19600 WALTZ RD.,HURON TOWNSHIP,48164,WAYNE,"19600 WALTZ RD., HURON TOWNSHIP, MI"
U631610743,CUMMINS BRIDGEWAY,54250 GRAND RIVER AVENUE,NEW HUDSON,48165,OAKLAND,"54250 GRAND RIVER AVENUE, NEW HUDSON, MI"
U631501703,KENTUCKY TRAILOR TECHNOLOGIES,53000 GRAND RIVER AVENUE,NEW HUDSON,48165,48165,"53000 GRAND RIVER AVENUE, NEW HUDSON, MI"
U631611951,"MARADA INDUSTRIES, INC.DBA COSMA BODY AND ASSEMBLY",5475 GRAND RIVER AVENUE,NEW HUDSON,48165,48165,"5475 GRAND RIVER AVENUE, NEW HUDSON, MI"
U631500414,USA-2-GO SUNOCO,30560 MILFORD ROAD,NEW HUDSON,48165,48165,"30560 MILFORD ROAD, NEW HUDSON, MI"
U582101894,VACANT COMMERCIAL,10200 TELEGRAPH,CARLETON,48166,48166,"10200 TELEGRAPH, CARLETON, MI"
U501809584,DONATO ENTERPRISES,81600 BELLE RIVER ROAD,MEMPHIS,48167,48167,"81600 BELLE RIVER ROAD, MEMPHIS, MI"
U631907801,NORTHVILLE LUMBER COMPANY,777 BASELINE ROAD,NORTHVILLE,48167,48167,"777 BASELINE ROAD, NORTHVILLE, MI"
U632002511,VACANT RESIDENCE,21405 NAPIER,NORTHVILLE,48167,48167,"21405 NAPIER, NORTHVILLE, MI"
U472103784,THE MEANS PROJECT,935 W M 36,PINCKNEY,48169,48169,"935 W M 36, PINCKNEY, MI"
U822102899,FORMER GARDEN CENTER,587 W. ANN ARBOR TRAIL,PLYMOUTH,48170,48170,"587 W. ANN ARBOR TRAIL, PLYMOUTH, MI"
U822105073,VACANY COMMERCIAL,39950 ANN ARBOR,PLYMOUTH,48170,48170,"39950 ANN ARBOR, PLYMOUTH, MI"
U821904222,FORMER MAX & ERMA'S RESTARAUNT,15257 BECK ROAD,PLYMOUTH TOWNSHIP,48170,48170,"15257 BECK ROAD, PLYMOUTH TOWNSHIP, MI"
U822102076,COMMERCIAL/RESIDENTIAL MIXED,22421 HURON RIVER DRIVE,ROCKWOOD,48173,48173,"22421 HURON RIVER DRIVE, ROCKWOOD, MI"
U821604667,RESIDENCE,568 SMITH,DETROIT,48174,48174,"568 SMITH, DETROIT, MI"
